id,league_id,played_at,home_team,away_team,home_score,away_score,created_at,stage,group_name,day,forfeited_by
017cb3c5-2106-41b9-9e96-be7b98856f43,a62a4f39-567a-4ad4-97f8-c75e7d67482e,2026-03-13 18:00:00+00,SSKK Kołobrzeg,Northguards,3,0,2026-03-12 18:56:44.975977+00,group,,7,away
01f0ec3f-3dcc-420d-a605-b565e1667afd,36bda9a8-61d7-4d02-857c-398fc553322c,2026-03-01 23:29:00+00,Artemis FC,Valhalla FC,8,1,2026-02-26 19:17:46.922544+00,group,,5,
031ce908-d779-4e20-909f-8e038e7b3848,0f8d720d-3273-496e-8ede-7c2bd4817a91,2026-01-29 18:30:00+00,Zakrusa,Borazanspor,8,11,2026-03-04 14:45:11.228259+00,group,,1,
0370f5b6-04c4-4134-82f2-b406c18923c5,0f8d720d-3273-496e-8ede-7c2bd4817a91,2026-02-03 19:30:00+00,Las Noches,Valientes GANG,3,4,2026-03-04 14:48:45.942546+00,group,,2,
043bed46-8f5f-4a4f-832f-6a9e889ff98c,006607c7-b380-4438-8570-81d7673d8dd2,2026-03-11 19:00:00+00,Szot United,HD FC,5,4,2026-03-12 18:54:03.37151+00,group,Group C,3,
044d7744-e56f-4853-90da-fc31e44a94a3,95e295b3-d936-4c75-935f-14a615ecbf42,2026-04-06 15:19:31.184+00,Galatasaray SK,Velocita FC,0,3,2026-04-06 15:19:31.259757+00,,,,home
050d1fa1-098d-41f7-854b-5246777ce16a,36bda9a8-61d7-4d02-857c-398fc553322c,2026-02-28 20:15:27.175+00,Beşiktaş JK,Enigma,7,2,2026-02-26 19:17:46.5321+00,group,,5,
05f1cb42-31d3-434a-8e46-eaaf25bf1a65,36bda9a8-61d7-4d02-857c-398fc553322c,2026-02-22 17:18:19.444+00,Artemis FC,Pau FC,2,3,2026-02-18 23:06:31.474641+00,group,,3,
05fd0280-c2ae-43bf-aa2b-51ba50be7193,a62a4f39-567a-4ad4-97f8-c75e7d67482e,2026-03-25 19:00:00+00,SSKK Kołobrzeg,Luton Town FC,1,5,2026-03-23 00:13:59.067968+00,group,,8,
076b89c7-10da-43b9-ab3e-559089970de0,95e295b3-d936-4c75-935f-14a615ecbf42,2026-02-21 22:57:46.243+00,FC Roma,Galatasaray SK,3,0,2026-02-19 22:13:53.557065+00,group,,2,away
087d0710-8698-47dc-bf19-0420744c943a,006607c7-b380-4438-8570-81d7673d8dd2,2026-04-09 20:00:00+00,Velocita FC,Jovel Union,,,2026-04-06 15:16:21.980624+00,semi,,,
093dd75f-17be-44c3-9418-a0fcad449552,0f8d720d-3273-496e-8ede-7c2bd4817a91,2026-01-29 19:00:00+00,Jovel Union,VigiLant,2,3,2026-03-04 14:45:11.33637+00,group,,1,
0bcfb905-1fd7-4f14-ba6d-78265d715299,a3bcb040-e540-4dcf-91eb-fea8d035ae93,2026-02-02 19:00:00+00,Heroes FC,Galatasaray SK,0,16,2026-03-04 14:54:46.32087+00,group,,2,
0c20a9ea-7995-443d-89e4-8c293dfa644d,95e295b3-d936-4c75-935f-14a615ecbf42,2026-02-19 23:42:16.66+00,Del'Sole,Galatasaray SK,0,0,2026-02-19 22:16:37.050182+00,group,,1,both
0c20e50d-54a4-4e6c-8a2a-57fd923cc6f8,006607c7-b380-4438-8570-81d7673d8dd2,2026-02-25 21:25:59.079+00,Stungard,Szot United,4,3,2026-02-24 22:34:49.54201+00,group,Group C,1,
0c616684-c560-4f3b-9942-0ee20df90ade,a62a4f39-567a-4ad4-97f8-c75e7d67482e,2026-03-13 19:00:00+00,Sabertooth,TarhanSpor,8,5,2026-03-12 18:56:45.495428+00,group,,7,
0d1daf27-bb2c-44e6-ada6-61c27f69fe11,36bda9a8-61d7-4d02-857c-398fc553322c,2026-03-07 19:00:00+00,Cute Boys FC,Artemis FC,4,3,2026-03-07 19:23:45.134256+00,group,,6,
0d5490f2-4302-4e08-887e-7bac8a7157c9,c580ed16-6585-4948-9732-c73f93b18b27,2026-03-30 19:30:00+00,Pau FC,Valhalla FC,11,1,2026-03-27 23:27:56.520859+00,quarter-finals,,,
0d6a765a-7c46-4d67-a492-95945ba826d1,36bda9a8-61d7-4d02-857c-398fc553322c,2026-03-23 00:42:29.379+00,Valientes GANG,Evriyon,0,0,2026-03-23 00:42:30.711101+00,,,,both
0dc677ad-c033-4322-b8e8-120a76073870,95e295b3-d936-4c75-935f-14a615ecbf42,2026-02-24 00:27:50.262+00,Del'Sole,Stungard,0,3,2026-02-19 22:52:18.814569+00,group,,4,home
0f88d185-cd63-4c10-ad1f-735b04b63057,36bda9a8-61d7-4d02-857c-398fc553322c,2026-02-22 00:45:26.147+00,Evriyon,Leeds United FC,0,3,2026-02-18 23:05:15.661678+00,group,,2,home
10093bad-082d-4a36-a236-bb92d4ed6457,36bda9a8-61d7-4d02-857c-398fc553322c,2026-02-22 17:45:14.841+00,Valhalla FC,Aetherborn FC,1,4,2026-02-19 22:39:51.367626+00,group,,4,
10186c5a-345e-47e9-9d17-2f44cc28c183,006607c7-b380-4438-8570-81d7673d8dd2,2026-04-07 19:30:00+00,Luton Town FC,Stungard,,,2026-04-06 15:14:25.623294+00,semi-finals,,,
1028e5ef-2442-4f32-b91c-f30cec3de548,95e295b3-d936-4c75-935f-14a615ecbf42,2026-02-19 17:30:00+00,Szot United,Velocita FC,1,6,2026-02-18 22:17:06.769361+00,group,,3,
105b347b-0c61-47cf-a7c6-5ac2584f9be9,006607c7-b380-4438-8570-81d7673d8dd2,2026-03-03 22:02:54.87+00,Sabertooth,Szot United,6,1,2026-03-01 22:24:22.962695+00,group,Group C,2,
1141368c-9a6e-489d-a039-4319cfed8a29,95e295b3-d936-4c75-935f-14a615ecbf42,2026-03-15 18:50:00+00,Borazanspor,Wembley Guardians,5,6,2026-03-14 23:07:00.633324+00,group,,7,
118b956e-e31e-4f03-af44-774be970ab66,95e295b3-d936-4c75-935f-14a615ecbf42,2026-03-08 17:30:00+00,Wembley Guardians,FP Sicilia 2019,5,4,2026-03-04 23:18:33.268554+00,group,,6,
119559e0-c5ef-4589-811b-a51c608a0af0,006607c7-b380-4438-8570-81d7673d8dd2,2026-04-02 18:00:00+00,SSKK Kołobrzeg,Stungard,0,4,2026-03-31 23:51:31.962235+00,quarter-finals,,,
12847716-c05b-4c75-b95a-67654803bd8e,c580ed16-6585-4948-9732-c73f93b18b27,2026-03-30 18:00:00+00,Enigma,Aetherborn FC,3,4,2026-03-27 23:27:55.683105+00,quarter-finals,,,
1369b9a6-0028-457f-8f03-b6d89f56151b,006607c7-b380-4438-8570-81d7673d8dd2,2026-03-03 20:17:38.436+00,Jovel Union,Northguards,3,0,2026-03-01 22:24:22.334569+00,group,Group A,2,away
14a392c5-a62b-4e5d-bf36-405ef8990071,95e295b3-d936-4c75-935f-14a615ecbf42,2026-03-15 19:00:00+00,Szot United,Del'Sole,3,0,2026-03-14 23:07:36.091211+00,group,,7,away
15ed4cee-c763-438e-9701-169ee452260e,95e295b3-d936-4c75-935f-14a615ecbf42,2026-02-22 19:02:41.021+00,Sakaryaspor,Borazanspor,4,7,2026-02-19 22:52:18.334167+00,group,,4,
16f1d06d-acde-4a48-8c5d-22eb23e6fe7b,36bda9a8-61d7-4d02-857c-398fc553322c,2026-03-24 18:00:00+00,Leeds United FC,Aetherborn FC,8,1,2026-03-23 00:13:46.256385+00,group,,8,
16f687a6-d6ce-45e2-95e3-0043d4eebaa7,c580ed16-6585-4948-9732-c73f93b18b27,2026-02-25 21:22:26.333+00,Mythra FC,Borazanspor,4,3,2026-02-24 22:27:04.422281+00,group,Group C,1,
188b8d30-88b3-4bf3-9de6-aafc62fbcb97,95e295b3-d936-4c75-935f-14a615ecbf42,2026-03-23 00:41:52.69+00,Del'Sole,FP Sicilia 2019,0,3,2026-03-23 00:41:53.851094+00,,,,home
1976eddb-5378-4453-9ae3-6f6683b90604,a62a4f39-567a-4ad4-97f8-c75e7d67482e,2026-02-24 00:23:17.169+00,Sunderland AFC,Sabertooth,3,0,2026-02-22 16:06:52.361277+00,group,,4,
19d734a3-b126-4ecf-acd2-43e17862d1c6,95e295b3-d936-4c75-935f-14a615ecbf42,2026-03-23 00:41:52.69+00,Del'Sole,Celtic FC,0,3,2026-03-23 00:41:53.903181+00,,,,home
1b262c95-3010-4886-a99e-249c7699bf4e,c580ed16-6585-4948-9732-c73f93b18b27,2026-03-12 18:00:00+00,Borazanspor,Cute Boys FC,3,5,2026-03-12 18:52:57.027813+00,group,Group C,3,
1d1e3da7-e248-4af4-8311-0f6726281d15,36bda9a8-61d7-4d02-857c-398fc553322c,2026-02-21 22:48:58.562+00,Valhalla FC,Zakrusa,3,5,2026-02-18 23:05:16.013315+00,group,,2,
1d44e38f-5c76-40dd-baf1-1c02681b47f6,006607c7-b380-4438-8570-81d7673d8dd2,2026-02-24 22:52:32.755+00,Celtic FC,FP Sicilia 2019,3,4,2026-02-24 22:34:49.210791+00,group,Group D,1,
1dd9934d-36d7-4f02-a310-9135a3c789f9,c580ed16-6585-4948-9732-c73f93b18b27,2026-03-04 19:00:00+00,Aetherborn FC,Zakrusa,8,3,2026-03-01 22:24:42.446802+00,group,Group D,2,
1e1e875c-419f-451f-8ba2-11b2e72a3a79,36bda9a8-61d7-4d02-857c-398fc553322c,2026-03-27 21:21:41.597+00,Valientes GANG,Zakrusa,0,3,2026-03-27 21:21:41.921975+00,,,,home
1e1f2e02-60f4-46ce-a371-e8b10f0745dc,95e295b3-d936-4c75-935f-14a615ecbf42,2026-03-15 18:30:00+00,Galatasaray SK,Jovel Union,0,3,2026-03-14 23:07:00.186772+00,group,,7,home
1e727e83-5023-4666-bb8c-11d8ffeaddb4,006607c7-b380-4438-8570-81d7673d8dd2,2026-03-31 19:00:00+00,Luton Town FC,Sabertooth,,,2026-03-27 23:27:03.08614+00,Quarter-Finals,,,
1ea8f22c-9452-4f6b-93db-33724a15f128,0f8d720d-3273-496e-8ede-7c2bd4817a91,2026-01-31 18:30:00+00,Evriyon,Wembley Guardians,4,2,2026-03-04 14:45:11.695064+00,group,,1,
1f435158-fa2e-4c01-aef8-c95f82a1449d,36bda9a8-61d7-4d02-857c-398fc553322c,2026-02-19 23:01:00+00,Pau FC,Aetherborn FC,8,1,2026-02-19 22:38:35.853207+00,group,,,
21392f3d-0ce0-4d58-ac89-d382cfc42c5f,95e295b3-d936-4c75-935f-14a615ecbf42,2026-02-15 17:30:00+00,Del'Sole,Velocita FC,0,3,2026-02-19 22:13:53.805026+00,group,,2,home
225c1be0-7359-4dd3-8c28-6267de227172,36bda9a8-61d7-4d02-857c-398fc553322c,2026-04-05 20:30:00+00,Mythra FC,Aetherborn FC,4,3,2026-04-03 18:53:53.754316+00,group,,10,
2524d367-ba5f-45d7-b123-04d22a426a8b,95e295b3-d936-4c75-935f-14a615ecbf42,2026-02-23 00:19:11.375+00,Jovel Union,FC Roma,4,3,2026-02-19 22:52:19.145268+00,group,,4,
266dc272-18e2-4bd4-b533-900e83945143,a62a4f39-567a-4ad4-97f8-c75e7d67482e,2026-04-04 18:00:00+00,Luton Town FC,Sunderland AFC,5,1,2026-04-04 17:36:42.746753+00,group,,10,
270c649e-6029-4777-be8b-1322baa40539,95e295b3-d936-4c75-935f-14a615ecbf42,2026-03-26 18:30:00+00,Jovel Union,Szot United,0,0,2026-03-23 00:14:13.219885+00,group,,8,
27a287ab-f6db-43d4-9f35-30fc6b5156f8,36bda9a8-61d7-4d02-857c-398fc553322c,2026-03-13 19:00:00+00,Leeds United FC,Artemis FC,16,0,2026-03-12 18:48:21.370453+00,group,,3,
28470a8e-7c7b-48bd-adba-bda81b26ccad,c580ed16-6585-4948-9732-c73f93b18b27,2026-02-25 21:34:02.335+00,Enigma,Cute Boys FC,9,1,2026-02-24 22:27:39.18982+00,group,Group C,1,
28a7f9e8-b7b7-4704-9657-7483f521fb0d,a62a4f39-567a-4ad4-97f8-c75e7d67482e,2026-02-22 00:57:00+00,Regard FC,SSKK Kołobrzeg,0,3,2026-02-22 00:57:57.430411+00,,,2,home
28eb2d51-effd-4654-a809-48d1736397ae,95e295b3-d936-4c75-935f-14a615ecbf42,2026-02-19 23:35:43.526+00,Sakaryaspor,Jovel Union,1,5,2026-02-19 22:16:36.913245+00,group,,1,
2a119187-6e7a-45c9-82f7-79fdd71171cd,006607c7-b380-4438-8570-81d7673d8dd2,2026-03-03 20:24:00+00,Wembley Guardians,FP Sicilia 2019,2,1,2026-03-01 22:24:22.575989+00,group,Group D,2,
2a8a44d5-49df-4ee4-b4fe-2126b2577a18,006607c7-b380-4438-8570-81d7673d8dd2,2026-03-11 18:00:00+00,Luton Town FC,Rangers FC,5,1,2026-03-12 18:54:03.063946+00,group,Group B,3,
2ac6812b-064b-47aa-819e-8502396a8016,c580ed16-6585-4948-9732-c73f93b18b27,2026-03-11 17:30:00+00,Beşiktaş JK,Zakrusa,8,2,2026-03-12 18:48:21.500931+00,group,Group D,3,
2b740a5f-7700-4636-823d-8fab6112a99d,a62a4f39-567a-4ad4-97f8-c75e7d67482e,2026-02-22 17:11:00+00,SSKK Kołobrzeg,VigiLant,3,1,2026-02-22 17:11:43.287472+00,,,3,
2c83e77d-39d4-480c-a792-2ef35f3e4545,0f8d720d-3273-496e-8ede-7c2bd4817a91,2026-02-01 19:00:00+00,Zakrusa,Sabertooth,4,3,2026-03-04 14:48:24.096638+00,group,,2,
2d75b744-36be-4101-be88-30f9123523a2,36bda9a8-61d7-4d02-857c-398fc553322c,2026-03-14 19:00:00+00,Valhalla FC,Valientes GANG,3,0,2026-03-14 23:04:32.206473+00,group,,7,away
2e634c7d-aafb-40c1-a7c7-3035dc72511a,36bda9a8-61d7-4d02-857c-398fc553322c,2026-04-03 18:00:00+00,Leeds United FC,Enigma,3,4,2026-04-03 18:53:53.481887+00,group,,10,
2e7415b9-2a6a-4472-8e31-a8aa260a8364,006607c7-b380-4438-8570-81d7673d8dd2,2026-02-26 23:13:20.252+00,Sabertooth,HD FC,4,2,2026-02-24 22:35:21.683617+00,group,Group C,1,
30497bca-6b74-4b18-a1bd-a9426f36134a,95e295b3-d936-4c75-935f-14a615ecbf42,2026-02-22 16:57:28.885+00,Sakaryaspor,Del'Sole,3,0,2026-02-18 22:17:07.012999+00,group,,3,away
309ad357-2e64-4c92-ab06-a0f09aa7761f,c580ed16-6585-4948-9732-c73f93b18b27,2026-04-08 20:00:00+00,Beşiktaş JK,Leeds United FC,,,2026-04-06 15:13:58.319461+00,semi-final,,,
31333b18-9175-45be-9519-9e8dcbe198f4,006607c7-b380-4438-8570-81d7673d8dd2,2026-03-10 18:30:00+00,FP Sicilia 2019,Akatsuki,2,5,2026-03-12 18:54:02.492444+00,group,Group D,3,
317c009a-817d-4bca-9227-387368dbdb34,a62a4f39-567a-4ad4-97f8-c75e7d67482e,2026-03-13 19:30:00+00,HD FC,Akatsuki,4,3,2026-03-12 18:56:45.758047+00,group,,7,
357bb3c1-f86c-417b-ba83-20077f28b334,a62a4f39-567a-4ad4-97f8-c75e7d67482e,2026-03-13 19:00:00+00,VigiLant,Regard FC,3,0,2026-03-12 18:57:53.616965+00,group,,7,away
3587a12b-fdf7-4f3e-9a02-60862d7daf16,006607c7-b380-4438-8570-81d7673d8dd2,2026-03-03 20:26:00+00,HD FC,Stungard,1,4,2026-03-03 20:26:48.834388+00,group,Group C,2,
