player,played_at,fixture,position,role,result,final_you,final_formula,final_diff,attacking_you,attacking_formula,attacking_diff,defending_you,defending_formula,defending_diff,passing_you,passing_formula,passing_diff,consistency_you,consistency_formula,consistency_diff,gk_gc_you,gk_gc_formula,gk_gc_diff,gk_saves_you,gk_saves_formula,gk_saves_diff,gk_catches_you,gk_catches_formula,gk_catches_diff
"Degtuks","2026-07-08","BC Kauno Žalgiris 2-3 Notts County FC","LB","DEF","L",39.00,51.00,12.00,0.00,0.00,0.00,44.00,73.39,29.39,50.00,20.43,-29.57,31.00,13.97,-17.03,,,,,,,,,
"marulla","2026-04-02","Sabertooth 3-6 Luton Town FC","CM","MID","L",46.00,44.00,-2.00,0.00,0.00,0.00,74.00,94.38,20.38,70.00,42.67,-27.33,62.00,48.08,-13.92,,,,,,,,,
"cawest666","2026-04-08","Pau FC 2-4 Aetherborn FC","LB","DEF","L",49.00,55.00,6.00,0.00,0.00,0.00,57.00,76.28,19.28,50.00,27.23,-22.77,50.00,25.00,-25.00,,,,,,,,,
"Traktoren","2026-07-06","OP1UM 0-3 Titan FC","CM","MID","W",41.00,42.00,1.00,0.00,0.00,0.00,69.00,92.88,23.88,45.00,26.67,-18.33,40.00,27.56,-12.44,,,,,,,,,
"xoobi","2026-02-05","VigiLant 5-6 Zakrusa","LB","DEF","L",56.00,65.00,9.00,0.00,0.00,0.00,64.00,88.15,24.15,58.00,34.04,-23.96,67.00,37.50,-29.50,,,,,,,,,
"ym.","2026-07-18","Hamburger SC 0-5 OOG FC","LB","DEF","W",85.00,85.00,0.00,30.00,15.00,-15.00,89.00,102.96,13.96,74.00,37.45,-36.55,87.00,71.32,-15.68,,,,,,,,,
"Timhub","2026-06-28","Paris Saint-Germain 3-3 Notts County FC","CM","MID","D",71.00,55.00,-16.00,60.00,32.22,-27.78,79.00,99.25,20.25,70.00,26.67,-43.33,66.00,51.28,-14.72,,,,,,,,,
"omdazhere","2026-06-29","Alfa Romeo 3-0 Celtic FC","CM","MID","W",81.00,76.00,-5.00,77.00,73.89,-3.11,85.00,94.75,9.75,60.00,41.95,-18.05,81.00,64.74,-16.26,,,,,,,,,
"soul snatcher","2026-02-19","Enigma 3-0 Evriyon","LB","DEF","L",58.00,58.00,0.00,40.00,21.67,-18.33,60.00,68.85,8.85,57.00,50.64,-6.36,70.00,41.91,-28.09,,,,,,,,,
"Cisburro104","2026-03-15","Celtic FC 3-3 FP Sicilia 2019","LB","DEF","D",81.00,80.00,-1.00,48.00,28.33,-19.67,87.00,91.49,4.49,63.00,64.26,1.26,85.00,64.71,-20.29,,,,,,,,,
"AEXON","2026-06-27","Leeds United FC 2-2 Dunyon FC","LB","DEF","D",83.00,79.00,-4.00,67.00,46.67,-20.33,84.00,88.77,4.77,74.00,57.45,-16.55,85.00,61.76,-23.24,,,,,,,,,
"Night","2026-03-13","HD FC 4-3 Akatsuki","RB","DEF","W",88.00,88.00,0.00,63.00,21.67,-41.33,87.00,94.70,7.70,79.00,81.28,2.28,89.00,77.94,-11.06,,,,,,,,,
"Fearful","2026-02-26","VigiLant 3-0 Evriyon","RB","DEF","W",74.00,73.00,-1.00,24.00,0.00,-24.00,78.00,94.04,16.04,59.00,23.83,-35.17,75.00,44.85,-30.15,,,,,,,,,
